I;11046;184.0 deg;10.0 uSH;Bxo;11.0 deg;7;Beta;24;42;2010-02-10
I;11047;165.0 deg;10.0 uSH;Axx;1.0 deg;1;Alpha;17;61;2010-02-10
IA;11044;314.0 deg;0.0 uSH;--;0.0 deg;--;--;18;88;2010-02-10
II;11042;132.0 deg;0.0 uSH;--;0.0 deg;--;--;21;0;2010-02-10
I;11045;252.0 deg;240.0 uSH;Fai;17.0 deg;16;Beta;22;39;2010-02-11
I;11046;185.0 deg;130.0 uSH;Dso;10.0 deg;8;Beta;24;28;2010-02-11
I;11047;170.0 deg;10.0 uSH;Axx;1.0 deg;1;Alpha;18;43;2010-02-11
I;11045;252.0 deg;150.0 uSH;Fsi;17.0 deg;11;Beta;22;52;2010-02-12
I;11046;185.0 deg;190.0 uSH;Eac;12.0 deg;33;Beta-Gamma;23;15;2010-02-12
IA;11047;170.0 deg;0.0 uSH;--;0.0 deg;--;--;18;30;2010-02-12
I;11045;251.0 deg;90.0 uSH;Fso;22.0 deg;5;Beta-Gamma;19;63;2010-02-13
I;11046;185.0 deg;130.0 uSH;Esc;11.0 deg;13;Beta-Gamma;24;0;2010-02-13
IA;11047;170.0 deg;0.0 uSH;--;0.0 deg;--;--;18;17;2010-02-13
I;11045;242.0 deg;100.0 uSH;Bxo;17.0 deg;4;Beta;24;69;2010-02-14
I;11046;184.0 deg;130.0 uSH;Cso;12.0 deg;13;Beta;23;11;2010-02-14
IA;11047;170.0 deg;0.0 uSH;--;0.0 deg;--;--;18;4;2010-02-14
IA;11048;87.0 deg;0.0 uSH;--;0.0 deg;--;--;23;90;2010-02-14
II;11041;55.0 deg;0.0 uSH;--;0.0 deg;--;--;27;0;2010-02-14
I;11046;183.0 deg;70.0 uSH;Cao;11.0 deg;6;Beta;24;23;2010-02-15
I;11048;96.0 deg;10.0 uSH;Bxo;5.0 deg;2;Beta;20;64;2010-02-15
IA;11045;242.0 deg;0.0 uSH;--;0.0 deg;--;--;24;82;2010-02-15
IA;11047;170.0 deg;0.0 uSH;--;0.0 deg;--;--;18;9;2010-02-15
II;11041;55.0 deg;0.0 uSH;--;0.0 deg;--;--;27;0;2010-02-15
I;11046;183.0 deg;40.0 uSH;Cao;6.0 deg;4;Beta;24;36;2010-02-16
I;11048;97.0 deg;10.0 uSH;Bxo;5.0 deg;3;Beta;21;50;2010-02-16
IA;11047;170.0 deg;0.0 uSH;--;0.0 deg;--;--;18;22;2010-02-16
II;11041;55.0 deg;0.0 uSH;--;0.0 deg;--;--;27;0;2010-02-16
I;11046;183.0 deg;40.0 uSH;Cro;3.0 deg;3;Beta;22;49;2010-02-17
I;11048;100.0 deg;10.0 uSH;Bxo;3.0 deg;5;Beta;21;34;2010-02-17
IA;11047;170.0 deg;0.0 uSH;--;0.0 deg;--;--;18;35;2010-02-17
I;11046;179.0 deg;30.0 uSH;Hsx;1.0 deg;3;Alpha;22;58;2010-02-18
I;11048;97.0 deg;10.0 uSH;Axx;2.0 deg;4;Alpha;20;24;2010-02-18
I;11049;119.0 deg;40.0 uSH;Dso;5.0 deg;12;Beta;19;2;2010-02-18
IA;11047;170.0 deg;0.0 uSH;--;0.0 deg;--;--;18;48;2010-02-18
I;11049;121.0 deg;60.0 uSH;Dao;7.0 deg;7;Beta;19;13;2010-02-19
IA;11046;179.0 deg;0.0 uSH;--;0.0 deg;--;--;22;71;2010-02-19
IA;11047;170.0 deg;0.0 uSH;--;0.0 deg;--;--;18;61;2010-02-19
IA;11048;97.0 deg;0.0 uSH;--;0.0 deg;--;--;20;11;2010-02-19
I;11049;120.0 deg;60.0 uSH;Dsi;8.0 deg;13;Beta;19;25;2010-02-20
IA;11046;179.0 deg;0.0 uSH;--;0.0 deg;--;--;22;84;2010-02-20
IA;11047;170.0 deg;0.0 uSH;--;0.0 deg;--;--;18;74;2010-02-20
IA;11048;97.0 deg;0.0 uSH;--;0.0 deg;--;--;20;2;2010-02-20
II;11043;327.0 deg;0.0 uSH;--;0.0 deg;--;--;25;0;2010-02-20
I;11049;120.0 deg;60.0 uSH;Dsi;8.0 deg;9;Beta;19;38;2010-02-21
IA;11046;179.0 deg;0.0 uSH;--;0.0 deg;--;--;22;97;2010-02-21
IA;11047;170.0 deg;0.0 uSH;--;0.0 deg;--;--;18;87;2010-02-21
IA;11048;97.0 deg;0.0 uSH;--;0.0 deg;--;--;20;15;2010-02-21
II;11043;327.0 deg;0.0 uSH;--;0.0 deg;--;--;25;0;2010-02-21
I;11049;121.0 deg;50.0 uSH;Cso;10.0 deg;7;Beta;18;53;2010-02-22
IA;11048;97.0 deg;0.0 uSH;--;0.0 deg;--;--;20;28;2010-02-22
II;11043;327.0 deg;0.0 uSH;--;0.0 deg;--;--;25;0;2010-02-22
I;11049;122.0 deg;20.0 uSH;Cso;5.0 deg;4;Beta;18;67;2010-02-23
IA;11048;97.0 deg;0.0 uSH;--;0.0 deg;--;--;20;41;2010-02-23
II;11043;325.0 deg;0.0 uSH;--;0.0 deg;--;--;23;0;2010-02-23
I;11049;120.0 deg;10.0 uSH;Bxo;9.0 deg;3;Beta;18;78;2010-02-24
I;11050;54.0 deg;20.0 uSH;Bxo;4.0 deg;8;Beta;18;12;2010-02-24
IA;11048;97.0 deg;0.0 uSH;--;0.0 deg;--;--;20;54;2010-02-24
I;11049;120.0 deg;10.0 uSH;Bxo;5.0 deg;2;Beta;19;91;2010-02-25
I;11050;55.0 deg;10.0 uSH;Bxo;5.0 deg;5;Beta;19;27;2010-02-25
I;11051;322.0 deg;100.0 uSH;Cao;9.0 deg;3;Beta;17;66;2010-02-25
IA;11048;97.0 deg;0.0 uSH;--;0.0 deg;--;--;20;67;2010-02-25
I;11050;55.0 deg;20.0 uSH;Bxo;6.0 deg;7;Beta;19;40;2010-02-26
I;11051;321.0 deg;10.0 uSH;Bxo;6.0 deg;3;Beta;16;54;2010-02-26
IA;11048;97.0 deg;0.0 uSH;--;0.0 deg;--;--;20;80;2010-02-26
II;11045;251.0 deg;0.0 uSH;--;0.0 deg;--;--;19;0;2010-02-26
